Symbol,Name,Sector,Industry,Exchange
ATVI,"Activision Blizzard, Inc",Technology,Computer Software: Prepackaged Software,NASDAQ
DIS,Walt Disney Company (The),Consumer Services,Television Services,NYSE
AMZN,"Amazon.com, Inc.",Consumer Services,Catalog/Specialty Distribution,NASDAQ
T,AT&T Inc.,Public Utilities,Telecommunications Equipment,NYSE
NVDA,NVIDIA Corporation,Technology,Semiconductors,NASDAQ
TWTR,"Twitter, Inc.",Technology,"Computer Software: Programming, Data Processing",NYSE
FB,"Facebook, Inc.",Technology,"Computer Software: Programming, Data Processing",NASDAQ
KHC,The Kraft Heinz Company,Consumer Non-Durables,Packaged Foods,NASDAQ
NFLX,"Netflix, Inc.",Consumer Services,Consumer Electronics/Video Chains,NASDAQ
LVS,Las Vegas Sands Corp.,Consumer Services,Hotels/Resorts,NYSE
BX,The Blackstone Group L.P.,Finance,Investment Managers,NYSE
CRM,Salesforce.com Inc,Technology,Computer Software: Prepackaged Software,NYSE
WMT,Walmart Inc.,Consumer Services,Department/Specialty Retail Stores,NYSE
AAPL,Apple Inc.,Technology,Computer Manufacturing,NASDAQ
GPRO,"GoPro, Inc.",Miscellaneous,Industrial Machinery/Components,NASDAQ
TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing,NASDAQ
MSFT,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
SBUX,Starbucks Corporation,Consumer Services,Restaurants,NASDAQ
F,Ford Motor Company,Capital Goods,Auto Manufacturing,NYSE
BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,NYSE
BAC,Bank of America Corporation,Finance,Major Banks,NYSE
FIT,"Fitbit, Inc.",Technology,Computer Manufacturing,NYSE
GE,General Electric Company,Energy,Consumer Electronics/Appliances,NYSE
FOXA,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,NASDAQ
CMCSA,Comcast Corporation,Consumer Services,Television Services,NASDAQ
CVS,CVS Health Corporation,Health Care,Medical/Nursing Services,NYSE
MMM,3M Company,Health Care,Medical/Dental Instruments,NYSE
CBS,CBS Corporation,Consumer Services,Broadcasting,NYSE
