Symbol,Name,Sector,Industry,Exchange,,,TSLA,"Tesla, Inc. ",Capital Goods,Auto Manufacturing,NASDAQ
DDD,3D Systems Corporation,Technology,Computer Software: Prepackaged Software,NYSE,,,MSFT,Microsoft Corporation,Technology,Computer Software: Prepackaged Software,NASDAQ
MMM,3M Company,Health Care,Medical/Dental Instruments,NYSE,,,SBUX,Starbucks Corporation,Consumer Services,Restaurants,NASDAQ
WBAI,500.com Limited,Consumer Services,Services-Misc. Amusement & Recreation,NYSE,,,F,Ford Motor Company,Capital Goods,Auto Manufacturing,NYSE
WUBA,58.com Inc.,Technology,"Computer Software: Programming, Data Processing",NYSE,,,BABA,Alibaba Group Holding Limited,Miscellaneous,Business Services,NYSE
EGHT,8x8 Inc,Technology,EDP Services,NYSE,,,BAC,Bank of America Corporation,Finance,Major Banks,NYSE
AHC,A.H. Belo Corporation,Consumer Services,Newspapers/Magazines,NYSE,,,FIT,"Fitbit, Inc.",Technology,Computer Manufacturing,NYSE
ATEN,"A10 Networks, Inc.",Technology,Computer Communications Equipment,NYSE,,,GE,General Electric Company,Energy,Consumer Electronics/Appliances,NYSE
AAC,"AAC Holdings, Inc.",Health Care,Medical Specialities,NYSE,,,FOXA,"Twenty-First Century Fox, Inc.",Consumer Services,Television Services,NASDAQ
AIR,AAR Corp.,Capital Goods,Aerospace,NYSE,,,CMCSA,Comcast Corporation,Consumer Services,Television Services,NASDAQ
AAN,"Aaron&#39;s,  Inc.",Technology,Diversified Commercial Services,NYSE,,,CVS,CVS Health Corporation,Health Care,Medical/Nursing Services,NYSE
ABB,ABB Ltd,Consumer Durables,Electrical Products,NYSE,,,MMM,3M Company,Health Care,Medical/Dental Instruments,NYSE
ABT,Abbott Laboratories,Health Care,Major Pharmaceuticals,NYSE,,,CBS,CBS Corporation,Consumer Services,Broadcasting,NYSE
ABBV,AbbVie Inc.,Health Care,Major Pharmaceuticals,NYSE,,,,,,,
ANF,Abercrombie & Fitch Company,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,,,,,,,
AGD,Aberdeen Global Dynamic Dividend Fund,n/a,n/a,NYSE,,,,,,,
AWP,Aberdeen Global Premier Properties Fund,n/a,n/a,NYSE,,,,,,,
ACP,Aberdeen Income Credit Strategies Fund,n/a,n/a,NYSE,,,,,,,
JEQ,"Aberdeen Japan Equity Fund, Inc. ",n/a,n/a,NYSE,,,,,,,
AOD,Aberdeen Total Dynamic Dividend Fund,n/a,n/a,NYSE,,,,,,,
ABM,ABM Industries Incorporated,Finance,Diversified Commercial Services,NYSE,,,,,,,
AKR,Acadia Realty Trust,Consumer Services,Real Estate Investment Trusts,NYSE,,,,,,,
ACN,Accenture plc,Miscellaneous,Business Services,NYSE,,,,,,,
ACCO,Acco Brands Corporation,Consumer Durables,Publishing,NYSE,,,,,,,
ATV,"Acorn International, Inc.",Consumer Services,Other Specialty Stores,NYSE,,,,,,,
ATU,Actuant Corporation,Technology,Industrial Machinery/Components,NYSE,,,,,,,
AYI,Acuity Brands Inc,Consumer Durables,Building Products,NYSE,,,,,,,
GOLF,Acushnet Holdings Corp.,Consumer Non-Durables,Recreational Products/Toys,NYSE,,,,,,,
ADX,"Adams Diversified Equity Fund, Inc.",n/a,n/a,NYSE,,,,,,,
PEO,"Adams Natural Resources Fund, Inc.",n/a,n/a,NYSE,,,,,,,
